emoji,sentiment
🃏,Positive
▼,Neutral
▌,Negative
☛,Neutral
✩,Neutral
💒,Positive
🚤,Neutral
🐐,Positive
■,Negative
🔚,Positive
🎻,Neutral
🔷,Neutral
🚦,Neutral
🔓,Positive
🎽,Positive
📅,Positive
🎺,Positive
✯,Neutral
🍈,Negative
✉,Neutral
╣,Neutral
◤,Positive
○,Positive
🍼,Positive
📀,Neutral
🚛,Neutral
📓,Neutral
☉,Neutral
💴,Neutral
┼,Neutral
🐃,Neutral
➰,Negative
🔌,Negative
🍄,Neutral
📕,Neutral
📣,Positive
🚓,Neutral
🐗,Positive
↪,Neutral
⛳,Positive
┻,Negative
┛,Positive
┃,Neutral
👱,Neutral
⏳,Negative
💺,Neutral
🏇,Negative
☻,Neutral
📞,Positive
Ⓐ,Neutral
🌉,Positive
🚩,Negative
✎,Positive
📃,Positive
🏨,Neutral
📌,Negative
♎,Neutral
💷,Positive
🚄,Positive
▲,Positive
⛵,Positive
🔸,Neutral
⌛,Positive
🚜,Positive
🐆,Neutral
👒,Neutral
❕,Neutral
🔛,Positive
♢,Neutral
🇲,Positive
❅,Positive
👝,Positive
✞,Neutral
◡,Neutral
🎋,Positive
👥,Positive
📵,Neutral
🐡,Neutral
◆,Positive
🏯,Neutral
☂,Neutral
🔭,Neutral
🎪,Neutral
🐜,Positive
♌,Positive
☐,Negative
👷,Positive
↳,Neutral
🔈,Neutral
📄,Positive
📍,Neutral
🚐,Positive
🚔,Neutral
🌋,Positive
📡,Positive
⏩,Neutral
🚳,Positive
✘,Positive
۞,Neutral
☾,Neutral
🅰,Positive
📥,Neutral
🇼,Neutral
┓,Positive
┣,Positive
Ⓛ,Neutral
Ⓔ,Neutral
🔦,Neutral
👤,Positive
🚁,Neutral
🎠,Positive
🐁,Neutral
📗,Neutral
┐,Negative
☮,Negative
♂,Neutral
◞,Neutral
📯,Neutral
🔩,Neutral
👢,Positive
◂,Neutral
📰,Positive
📶,Neutral
🚥,Neutral
🌄,Neutral
🗾,Neutral
🔶,Neutral
🏤,Neutral
🎩,Neutral
Ⓜ,Positive
🔧,Negative
🐅,Neutral
♮,Neutral
🅾,Negative
🔄,Neutral
☄,Neutral
☨,Neutral
📦,Neutral
🚊,Positive
🔲,Positive
🔁,Neutral
△,Neutral
📆,Positive
❛,Neutral
📉,Neutral
▵,Neutral
🔎,Positive
☜,Neutral
🇯,Neutral
🇵,Neutral
📘,Positive
✡,Neutral
ⓔ,Positive
🔑,Positive
🔃,Neutral
👃,Negative
⭕,Neutral
🔘,Neutral
ⓒ,Negative
🚭,Positive
🚉,Positive
🚪,Positive
➳,Neutral
🚃,Positive
┯,Negative
🏬,Neutral
☽,Neutral
🆙,Neutral
🆖,Positive
☪,Neutral
┗,Positive
🚮,Negative
┫,Neutral
Ⓞ,Neutral
❇,Positive
✴,Positive
┌,Negative
☊,Positive
🔕,Negative
⬛,Negative
❝,Neutral
❞,Neutral
🚞,Positive
🍶,Positive
🌐,Positive
♀,Neutral
🚅,Positive
🚒,Neutral
➣,Neutral
♋,Neutral
♍,Positive
🕝,Neutral
ⓐ,Positive
✗,Negative
📙,Positive
Ⓢ,Neutral
📋,Positive
⇢,Negative
🎱,Positive
🐞,Neutral
🔺,Neutral
ⓡ,Positive
🎍,Neutral
♤,Positive
🎲,Neutral
🎯,Positive
〠,Neutral
🔉,Positive
↩,Positive
🚾,Neutral
🎣,Negative
🔣,Neutral
❎,Negative
➥,Neutral
🅱,Neutral
🎌,Positive
◣,Neutral
⏬,Positive
♭,Neutral
💠,Neutral
ⓞ,Positive
🔳,Neutral
🏭,Neutral
🔰,Neutral
🎳,Negative
☚,Positive
➽,Neutral
➫,Neutral
➖,Negative
🏮,Neutral
📛,Neutral
꒰,Neutral
꒱,Neutral
◝,Negative
📑,Positive
🎦,Neutral
ⓧ,Positive
🇨,Neutral
🇳,Neutral
🔟,Positive
〓,Positive
ⓜ,Neutral
➠,Positive
🚆,Neutral
🚠,Neutral
℅,Negative
☃,Neutral
🚽,Positive
📐,Neutral
ⓝ,Positive
✮,Neutral
⇦,Positive
👲,Neutral
🚡,Negative
🎑,Neutral
🔬,Positive
➗,Negative
📈,Neutral
⌘,Neutral
⏪,Neutral
╹,Neutral
◎,Positive
🔼,Neutral
꒦,Negative
📎,Positive
⑅,Positive
⍝,Neutral
📁,Neutral
✭,Positive
➲,Neutral
♓,Neutral
┏,Positive
☇,Positive
♺,Neutral
♞,Neutral
࿎,Negative
📠,Neutral
👘,Positive
↙,Positive
Ⓕ,Neutral
Ⓦ,Neutral
Ⓟ,Neutral
🕑,Neutral
💽,Neutral
🕛,Positive
🎫,Neutral
♈,Negative
📟,Neutral
℃,Neutral
↬,Positive
🕒,Neutral
🇰,Neutral
↱,Neutral
✍,Positive
⇐,Neutral
🏦,Positive
🔻,Positive
ⓟ,Positive
ⓕ,Positive
ⓘ,Positive
♿,Positive
⇗,Positive
⇘,Positive
ⓨ,Positive
ⓙ,Positive
▫,Positive
🔇,Positive
⌃,Negative
🔖,Positive
📜,Positive
♏,Neutral
🚝,Positive
☢,Neutral
🎏,Neutral
┘,Negative
✝,Negative
❖,Neutral
⍣,Negative
📮,Negative
🕕,Negative
🇭,Neutral
◜,Neutral
🔯,Positive
➸,Positive
꒵,Positive
🕥,Negative
♙,Neutral
▿,Neutral
⚃,Neutral
✽,Positive
📼,Positive
🕐,Negative
🀄,Positive
✾,Neutral
✬,Positive
🆑,Neutral
✫,Positive
🕔,Negative
❣,Positive
➱,Neutral
🆕,Neutral
➢,Neutral
↕,Neutral
📫,Positive
🉐,Positive
♊,Neutral
🈂,Negative
🎰,Negative
҂,Negative
╤,Negative
➛,Neutral
♝,Neutral
❋,Neutral
✆,Neutral
📔,Positive
